"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1091","Checkout rejects a missing postal code","bdd:chromium","2026-04-24","passed","2026-04-24","SauceDemo — Cart and checkout","../.features-gen/bdd:chromium/features/saucedemo/03-cart-checkout.feature.spec.js","",""
"","955","User sorts the inventory by Name (Z to A)","bdd:chromium","2026-04-24","passed","2026-04-24","SauceDemo — Inventory browsing > User sorts the inventory by <sort_label>","../.features-gen/bdd:chromium/features/saucedemo/02-inventory.feature.spec.js","",""
"","20308","Filter users by Admin role shows at least one result","bdd:chromium","2026-04-24","failed","2026-04-24","OrangeHRM — Admin user search","../.features-gen/bdd:chromium/features/orangehrm/03-admin-user-search.feature.spec.js","",""
"","1122","User adds and removes an item from the cart","bdd:chromium","2026-04-24","passed","2026-04-24","SauceDemo — Cart and checkout","../.features-gen/bdd:chromium/features/saucedemo/03-cart-checkout.feature.spec.js","",""
"","961","User sorts the inventory by Name (A to Z)","bdd:chromium","2026-04-24","passed","2026-04-24","SauceDemo — Inventory browsing > User sorts the inventory by <sort_label>","../.features-gen/bdd:chromium/features/saucedemo/02-inventory.feature.spec.js","",""
"","25225","Apply leave with valid date range","bdd:chromium","2026-04-24","failed","2026-04-24","OrangeHRM — Apply leave","../.features-gen/bdd:chromium/features/orangehrm/04-leave-request.feature.spec.js","",""
"","26093","Applying leave without selecting a leave type surfaces validation","bdd:chromium","2026-04-24","failed","2026-04-24","OrangeHRM — Apply leave","../.features-gen/bdd:chromium/features/orangehrm/04-leave-request.feature.spec.js","",""
"","521","GET /users/:id/posts returns posts scoped to that user","api","2026-04-24","passed","2026-04-24","jsonplaceholder — auth-shaped contracts","api/auth.api.test.ts","",""
"","895","Inventory grid visual baseline","bdd:chromium","2026-04-24","passed","2026-04-24","SauceDemo — Inventory browsing","../.features-gen/bdd:chromium/features/saucedemo/02-inventory.feature.spec.js","",""
"","24460","Reset clears the applied filters","bdd:chromium","2026-04-24","failed","2026-04-24","OrangeHRM — Admin user search","../.features-gen/bdd:chromium/features/orangehrm/03-admin-user-search.feature.spec.js","",""
"","19875","Admin searches the employee list by name","bdd:chromium","2026-04-24","failed","2026-04-24","OrangeHRM — Employee management via PIM","../.features-gen/bdd:chromium/features/orangehrm/02-employee-management.feature.spec.js","",""
"","36","GET /users/9999 returns 404 for a non-existent user","api","2026-04-24","passed","2026-04-24","jsonplaceholder — users (read)","api/users.api.test.ts","",""
"","287","PATCH /posts/:id partially updates a post","api","2026-04-24","passed","2026-04-24","jsonplaceholder — posts (CRUD)","api/users-crud.api.test.ts","",""
"","501","GET /users/:id exposes the fields an auth response would populate","api","2026-04-24","passed","2026-04-24","jsonplaceholder — auth-shaped contracts","api/auth.api.test.ts","",""
"","3187","Invalid password is rejected","bdd:chromium","2026-04-24","passed","2026-04-24","SauceDemo — User authentication","../.features-gen/bdd:chromium/features/saucedemo/01-login.feature.spec.js","",""
"","956","User sorts the inventory by Price (high to low)","bdd:chromium","2026-04-24","passed","2026-04-24","SauceDemo — Inventory browsing > User sorts the inventory by <sort_label>","../.features-gen/bdd:chromium/features/saucedemo/02-inventory.feature.spec.js","",""
"","1156","User completes checkout with valid information","bdd:chromium","2026-04-24","passed","2026-04-24","SauceDemo — Cart and checkout","../.features-gen/bdd:chromium/features/saucedemo/03-cart-checkout.feature.spec.js","",""
"","2710","Empty username and password trigger required-field validation","bdd:chromium","2026-04-24","failed","2026-04-24","OrangeHRM — User authentication","../.features-gen/bdd:chromium/features/orangehrm/01-login.feature.spec.js","",""
"","3142","Inventory grid displays six items on first load","bdd:chromium","2026-04-24","passed","2026-04-24","SauceDemo — Inventory browsing","../.features-gen/bdd:chromium/features/saucedemo/02-inventory.feature.spec.js","",""
"","1074","problem_user shows incorrect product images that visual AI catches","bdd:chromium","2026-04-24","passed","2026-04-24","SauceDemo — Visual regression with Applitools","../.features-gen/bdd:chromium/features/saucedemo/04-visual-regression.feature.spec.js","",""
"","30","GET /users/1 returns a single user","api","2026-04-24","passed","2026-04-24","jsonplaceholder — users (read)","api/users.api.test.ts","",""
"","3283","User logs in successfully as standard_user","bdd:chromium","2026-04-24","passed","2026-04-24","SauceDemo — User authentication","../.features-gen/bdd:chromium/features/saucedemo/01-login.feature.spec.js","",""
